CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada;NOME_PULITO;GENERE;PERSONA_ID
1364;20850;VIA DRAPPERIE;15;Santo Stefano;VIA CAPRARIE;VIA PESCHERIE VECCHIE;13516;6161;1993-04-27;47.0;2;;8;B;1;;5;B;44.493721814215526, 11.345198928166536;"{""coordinates"": [[11.345229340953086, 44.49392751027079], [11.34525125263045, 44.493880192646735], [11.345135370945428, 44.4935140075004]], ""type"": ""LineString""}";759464;DRAPPERIE;Toponimo;68f0c3631199eeb3209a11bc9df85ddf
1714;33350;STRADA MAGGIORE;15;Santo Stefano;PIAZZA ULISSE ALDROVANDI;VIA BEGATTO;6134;6111;1991-10-21;36.0;44;;44;;;;;;44.49217225139836, 11.351844799360306;"{""coordinates"": [[11.352046859544823, 44.492095226019586], [11.351642739175789, 44.492249276777144]], ""type"": ""LineString""}";759949;MAGGIORE;Toponimo;9c8085758f812445e93c36e1a85009f5
1718;45450;VIA SAN PETRONIO VECCHIO;15;Santo Stefano;VIA DEI BERSAGLIERI;VIA REMORSELLA;6123;5998;1991-10-21;133.0;30;;40;3;15;;39;A;44.48966391265118, 11.35311617926296;"{""coordinates"": [[11.352421602695246, 44.48999782339092], [11.35310182445628, 44.48967151284277], [11.353810220128068, 44.489328889767926]], ""type"": ""LineString""}";760270;SAN PETRONIO VECCHIO;Toponimo;79a6025a7d3b195799cb3319e0c42e87
1723;33800;VICOLO MALGRADO;15;Santo Stefano;STRADA MAGGIORE;VICOLO MALGRADO;6490;6491;1992-01-10;108.0;2;;8;;1;;11;;44.4910177600422, 11.35623931765649;"{""coordinates"": [[11.355921448181618, 44.49059136990083], [11.356093245543244, 44.49081864152803], [11.356250345548899, 44.49100448026323], [11.356398212980263, 44.491237403835925], [11.35653314632378, 44.49146080840312]], ""type"": ""LineString""}";759953;MALGRADO;Toponimo;cc5af6fe5ce05d55db2862741de11ee6
1784;43800;VIA GIANNI PALMIERI;14;San Donato - San Vitale;VIA PIETRO LORETA;VIA GIUSEPPE BENTIVOGLI;6541;6492;1991-10-21;60.0;18;;18;;33;;33;C;44.494347485771065, 11.36419620071906;"{""coordinates"": [[11.363822801102211, 44.494321887132884], [11.36456960033591, 44.494373084409254]], ""type"": ""LineString""}";759672;GIANNI PALMIERI;Male;316cdc83de8c5a1c596a8bd380594cdd
1785;32550;VIA PIETRO LORETA;14;San Donato - San Vitale;VIA GIANNI PALMIERI;VIA MARIO MUSOLESI;6540;6541;1991-10-21;97.0;2;;8;;1;;27;;44.49475402218704, 11.363757701480122;"{""coordinates"": [[11.36369260185803, 44.4951861572412], [11.363822801102211, 44.494321887132884]], ""type"": ""LineString""}";760154;PIETRO LORETA;Male;530ed0c657db28f487e9da88c0ca5efc
1792;61900;VIA SANTE VINCENZI;14;San Donato - San Vitale;VIA PAOLO FABBRI;VIA EDMONDO DE AMICIS;15998;15999;1991-10-21;67.0;6;;8;;11;;15;;44.49600925010475, 11.36306725976381;"{""coordinates"": [[11.362650911286442, 44.49597561530939], [11.363483608241175, 44.49604288490011]], ""type"": ""LineString""}";760303;SANTE VINCENZI;Male;665e649a6e5b7ab1e115c10258f356fd
1797;36700;VIA MASSENZIO MASIA;14;San Donato - San Vitale;VIA GIUSEPPE BENTIVOGLI;VIA LUIGI BALUGANI;6547;6546;1991-10-21;55.0;32;;36;F;21;;21;C;44.49731571644044, 11.36449225304949;"{""coordinates"": [[11.364147935295547, 44.49729264030599], [11.364836570803426, 44.497338792574894]], ""type"": ""LineString""}";759997;MASSENZIO MASIA;Male;c5da8fbfce67ba728a4d98287408dfa3
1932;27000;VIA PIETRO GIANNONE;16;Savena;VIA GIUSEPPE CESARE ABBA;VIA IPPOLITO NIEVO;6644;6645;1991-10-21;134.0;2;;8;;;;;;44.46501046328427, 11.379625875489843;"{""coordinates"": [[11.379144039655866, 44.465418277081184], [11.37956348688649, 44.46524767627], [11.379596767099555, 44.465222414383106], [11.379619573049851, 44.46519245540161], [11.379937713564212, 44.46443296104918]], ""type"": ""LineString""}";760150;PIETRO GIANNONE;Male;039de604c8fe59140143a8ba354fc2ff
1933;1150;VIA ALBERTO MARIO;16;Savena;VIA GIUSEPPE CESARE ABBA;VIA LAJOS TUKORY;13519;14911;1993-06-18;136.0;2;;14;;9;2;13;;44.4637126873902, 11.37863530445825;"{""coordinates"": [[11.379121209962307, 44.463207412400905], [11.379084639930939, 44.46325223339377], [11.378890224660607, 44.463455324001096], [11.378576137186641, 44.46377703270302], [11.378367346221363, 44.46398251055426], [11.378142108256565, 44.4642111342934]], ""type"": ""LineString""}";758734;ALBERTO MARIO;Male;80bbd37284032ff95bb31776d688aa29
