nome,genere,tipo,professione_originale,macro_categoria
William Shakespeare,M,storica,Drammaturgo,"Musica, teatro e cinema"
Vladimir Ilic Uljanov Lenin,M,storica,Politico,Politica e diritto
Vittorio Puntoni,M,storica,Batteriologo,Scienze e medicina
Vittorio Emanuele II,M,storica,Re d'Italia,Altro / istituzionale
Vitale da Bologna,M,storica,Pittore,Arte visiva e architettura
Vincenzo Gemito,M,storica,Scultore,Arte visiva e architettura
Vincenzo Bellini,M,storica,Compositore,"Musica, teatro e cinema"
Vasco de Gama,M,storica,Esploratore,"Patrioti, militari ed esploratori"
Valerio Zurlini,M,storica,Regista,"Musica, teatro e cinema"
Umberto Terracini,M,storica,Politico,Politica e diritto
Umberto Giordano,M,storica,Compositore,"Musica, teatro e cinema"
Umberto Boccioni,M,storica,"Pittore, scultore",Arte visiva e architettura
Ugo La Malfa,M,storica,Politico,Politica e diritto
Ugo Foscolo,M,storica,Poeta,Letteratura e giornalismo
Ugo Bassi,M,storica,"Patriota, presbitero",Religione
Tullo Golfarelli,M,storica,Scultore,Arte visiva e architettura
Tullio Levi Civita,M,storica,Matematico,Scienze e medicina
Torquato Tasso,M,storica,Poeta,Letteratura e giornalismo
Tommaso Casini,M,storica,Filologo,"Filosofia, storia e accademia"
Tommaso Campanella,M,storica,Filosofo,"Filosofia, storia e accademia"
Tomaso Albinoni,M,storica,Compositore,"Musica, teatro e cinema"
Tiziano Vecellio,M,storica,Pittore,Arte visiva e architettura
Tito Speri,M,storica,Patriota,"Patrioti, militari ed esploratori"
Tito Carnacini,M,storica,Giurista,Politica e diritto
Tito Azzolini,M,storica,Architetto,Arte visiva e architettura
Tita Ruffo,M,storica,Baritono,"Musica, teatro e cinema"
Tiberio Fiorilli (Scaramouche),M,storica,Attore,"Musica, teatro e cinema"
Telemaco Signorini,M,storica,Pittore,Arte visiva e architettura
Tazio Nuvolari,M,storica,Pilota,Sport
Tarquinio Provini,M,storica,Pilota motociclistico,Sport
Taddeo Alderotti,M,storica,Medico,Scienze e medicina
Stefano Gobatti,M,storica,Compositore,"Musica, teatro e cinema"
Stanislao Mattei,M,storica,Compositore,"Musica, teatro e cinema"
Spartaco,M,storica,Condottiero (rivolta servile),"Patrioti, militari ed esploratori"
Simone dei Crocefissi,M,storica,Pittore,Arte visiva e architettura
Silvio Pellico,M,storica,Scrittore,Letteratura e giornalismo
Silvestro Lega,M,storica,Pittore,Arte visiva e architettura
Sigmund Freud,M,storica,Psicoanalista,Scienze e medicina
Severino Ferrari,M,storica,Poeta,Letteratura e giornalismo
Sergiu Celibidache,M,storica,Direttore d'orchestra,Istruzione ed educazione
Sergio Vieira de Mello,M,storica,Diplomatico ONU,Politica e diritto
Sergio Secci,M,storica,Vittima strage stazione,Altro / istituzionale
Secondo Campini,M,storica,Ingegnere,Scienze e medicina
Sebastiano Serlio,M,storica,Architetto,Arte visiva e architettura
Sebastiano Caboto,M,storica,Esploratore,"Patrioti, militari ed esploratori"
Santorre di Santarosa,M,storica,Patriota,"Patrioti, militari ed esploratori"
Sante Bentivoglio,M,storica,Signore di Bologna,Altro / istituzionale
Sandro Pertini,M,storica,"Politico, Pres. Repubblica",Politica e diritto
Sandro Botticelli,M,storica,Pittore,Arte visiva e architettura
Salvatore Muzzi,M,storica,Storico,"Filosofia, storia e accademia"
Salvador Allende,M,storica,"Politico, Pres. Cile",Politica e diritto
Ruggero Ruggeri,M,storica,Attore,"Musica, teatro e cinema"
Ruggero Leoncavallo,M,storica,Compositore,"Musica, teatro e cinema"
Ruggero Grieco,M,storica,Politico,Politica e diritto
